date,origin,destination,cargo,vessel_type,quantity_mt,freight_rate,fuel_price,commodity_price,port_congestion,demand_index,supply_index
2023-01-01,South Africa,Kakinada,Bauxite,Panamax,80263,93.82,631.09,177.57,54.72,95.35,56.49
2023-01-01,South Africa,Krishnapatnam,Iron Ore,Panamax,84925,94.26,631.09,177.57,54.72,95.35,56.49
2023-01-01,Russia,Paradip,Fertilizer,Handymax,48693,84.29,631.09,177.57,54.72,95.35,56.49
2023-01-01,Russia,Chennai,Coal,Handysize,45658,83.18,631.09,177.57,54.72,95.35,56.49
2023-01-01,Brazil,Kakinada,Fertilizer,Panamax,51551,91.19,631.09,177.57,54.72,95.35,56.49
2023-01-01,Australia,Kakinada,Bauxite,Supramax,61606,89.52,631.09,177.57,54.72,95.35,56.49
2023-01-01,Russia,Visakhapatnam,Fertilizer,Panamax,43483,93.08,631.09,177.57,54.72,95.35,56.49
2023-01-01,Brazil,Krishnapatnam,Wheat,Handysize,112067,85.37,631.09,177.57,54.72,95.35,56.49
2023-01-02,Russia,Kakinada,Fertilizer,Supramax,90592,75.89,648.8,103.29,34.43,65.58,61.0
2023-01-02,Australia,Chennai,Iron Ore,Handysize,109135,79.63,648.8,103.29,34.43,65.58,61.0
2023-01-02,Russia,Visakhapatnam,Iron Ore,Handysize,72251,77.09,648.8,103.29,34.43,65.58,61.0
2023-01-02,Brazil,Kakinada,Wheat,Handysize,53159,72.8,648.8,103.29,34.43,65.58,61.0
2023-01-02,Brazil,Paradip,Bauxite,Capesize,94065,89.0,648.8,103.29,34.43,65.58,61.0
2023-01-02,Russia,Visakhapatnam,Coal,Panamax,59099,78.93,648.8,103.29,34.43,65.58,61.0
2023-01-02,Indonesia,Visakhapatnam,Fertilizer,Handymax,57065,74.57,648.8,103.29,34.43,65.58,61.0
2023-01-02,Russia,Paradip,Coal,Handysize,82592,74.16,648.8,103.29,34.43,65.58,61.0
2023-01-03,South Africa,Visakhapatnam,Fertilizer,Handysize,64262,82.5,634.02,179.67,52.02,83.54,48.3
2023-01-03,South Africa,Kakinada,Coal,Capesize,117504,96.93,634.02,179.67,52.02,83.54,48.3
2023-01-03,South Africa,Paradip,Fertilizer,Capesize,75016,96.26,634.02,179.67,52.02,83.54,48.3
2023-01-03,Brazil,Chennai,Fertilizer,Panamax,45939,89.83,634.02,179.67,52.02,83.54,48.3
2023-01-03,Russia,Kakinada,Coal,Panamax,74268,94.12,634.02,179.67,52.02,83.54,48.3
2023-01-03,Russia,Kakinada,Bauxite,Panamax,75820,93.4,634.02,179.67,52.02,83.54,48.3
2023-01-03,South Africa,Paradip,Iron Ore,Handymax,43419,85.7,634.02,179.67,52.02,83.54,48.3
2023-01-03,South Africa,Kakinada,Fertilizer,Handymax,84044,84.39,634.02,179.67,52.02,83.54,48.3
2023-01-04,Australia,Paradip,Iron Ore,Panamax,103211,93.78,830.02,114.82,32.97,100.0,62.62
2023-01-04,Australia,Krishnapatnam,Coal,Handysize,46736,78.78,830.02,114.82,32.97,100.0,62.62
2023-01-04,Indonesia,Visakhapatnam,Fertilizer,Capesize,58623,93.1,830.02,114.82,32.97,100.0,62.62
2023-01-04,Indonesia,Krishnapatnam,Fertilizer,Handymax,46309,83.72,830.02,114.82,32.97,100.0,62.62
2023-01-04,Brazil,Kakinada,Wheat,Handysize,45342,79.81,830.02,114.82,32.97,100.0,62.62
2023-01-04,Indonesia,Kakinada,Coal,Handysize,62107,85.39,830.02,114.82,32.97,100.0,62.62
2023-01-04,South Africa,Krishnapatnam,Wheat,Panamax,22811,84.31,830.02,114.82,32.97,100.0,62.62
2023-01-04,Brazil,Paradip,Coal,Handymax,31111,83.79,830.02,114.82,32.97,100.0,62.62
2023-01-05,Indonesia,Visakhapatnam,Wheat,Capesize,114179,82.62,548.13,116.61,39.65,80.84,75.66
2023-01-05,Australia,Chennai,Wheat,Supramax,65525,74.33,548.13,116.61,39.65,80.84,75.66
2023-01-05,Russia,Chennai,Wheat,Handysize,90271,73.43,548.13,116.61,39.65,80.84,75.66
2023-01-05,South Africa,Paradip,Wheat,Handysize,88497,74.01,548.13,116.61,39.65,80.84,75.66
2023-01-05,Australia,Chennai,Bauxite,Capesize,49855,82.76,548.13,116.61,39.65,80.84,75.66
2023-01-05,South Africa,Kakinada,Wheat,Panamax,26295,80.32,548.13,116.61,39.65,80.84,75.66
2023-01-05,Australia,Chennai,Fertilizer,Handysize,22049,71.86,548.13,116.61,39.65,80.84,75.66
2023-01-05,Australia,Chennai,Wheat,Handysize,52711,72.03,548.13,116.61,39.65,80.84,75.66
2023-01-06,Indonesia,Krishnapatnam,Coal,Panamax,59790,84.92,840.55,121.81,32.76,76.65,72.41
2023-01-06,Russia,Kakinada,Fertilizer,Supramax,93744,84.68,840.55,121.81,32.76,76.65,72.41
2023-01-06,Brazil,Chennai,Bauxite,Capesize,63525,92.6,840.55,121.81,32.76,76.65,72.41
2023-01-06,Russia,Kakinada,Fertilizer,Handysize,85726,80.99,840.55,121.81,32.76,76.65,72.41
2023-01-06,Russia,Krishnapatnam,Coal,Supramax,46641,85.76,840.55,121.81,32.76,76.65,72.41
2023-01-06,Indonesia,Kakinada,Iron Ore,Handymax,76958,84.43,840.55,121.81,32.76,76.65,72.41
2023-01-06,South Africa,Visakhapatnam,Iron Ore,Handymax,86320,85.43,840.55,121.81,32.76,76.65,72.41
2023-01-06,Indonesia,Visakhapatnam,Wheat,Handymax,49592,82.99,840.55,121.81,32.76,76.65,72.41
2023-01-07,Indonesia,Paradip,Bauxite,Capesize,23343,92.78,714.03,90.66,36.66,70.58,36.59
2023-01-07,Russia,Paradip,Iron Ore,Handymax,36896,81.65,714.03,90.66,36.66,70.58,36.59
2023-01-07,South Africa,Paradip,Wheat,Panamax,45945,83.2,714.03,90.66,36.66,70.58,36.59
2023-01-07,Brazil,Krishnapatnam,Iron Ore,Panamax,103613,91.61,714.03,90.66,36.66,70.58,36.59
2023-01-07,Brazil,Krishnapatnam,Fertilizer,Capesize,78335,92.94,714.03,90.66,36.66,70.58,36.59
2023-01-07,Indonesia,Visakhapatnam,Coal,Panamax,90313,84.58,714.03,90.66,36.66,70.58,36.59
2023-01-07,South Africa,Paradip,Iron Ore,Capesize,42677,94.09,714.03,90.66,36.66,70.58,36.59
2023-01-07,Brazil,Krishnapatnam,Coal,Capesize,23051,89.68,714.03,90.66,36.66,70.58,36.59
2023-01-08,South Africa,Krishnapatnam,Coal,Capesize,81389,94.7,652.49,155.5,48.4,73.8,51.11
2023-01-08,Brazil,Paradip,Bauxite,Handymax,43049,84.35,652.49,155.5,48.4,73.8,51.11
2023-01-08,Russia,Chennai,Iron Ore,Panamax,60158,97.04,652.49,155.5,48.4,73.8,51.11
2023-01-08,Russia,Chennai,Iron Ore,Handysize,69115,83.1,652.49,155.5,48.4,73.8,51.11
2023-01-08,South Africa,Chennai,Fertilizer,Handymax,31938,79.59,652.49,155.5,48.4,73.8,51.11
2023-01-08,South Africa,Kakinada,Bauxite,Panamax,117856,95.62,652.49,155.5,48.4,73.8,51.11
2023-01-08,Australia,Visakhapatnam,Wheat,Panamax,40764,85.11,652.49,155.5,48.4,73.8,51.11
2023-01-08,Russia,Visakhapatnam,Iron Ore,Handymax,96797,86.18,652.49,155.5,48.4,73.8,51.11
2023-01-09,Brazil,Kakinada,Iron Ore,Capesize,109112,92.61,785.06,110.69,50.36,62.11,73.49
2023-01-09,Brazil,Kakinada,Bauxite,Panamax,80566,86.32,785.06,110.69,50.36,62.11,73.49
2023-01-09,Russia,Kakinada,Wheat,Handysize,99459,76.42,785.06,110.69,50.36,62.11,73.49
2023-01-09,Brazil,Krishnapatnam,Coal,Supramax,56939,83.08,785.06,110.69,50.36,62.11,73.49
2023-01-09,Russia,Chennai,Coal,Capesize,63286,87.05,785.06,110.69,50.36,62.11,73.49
2023-01-09,Australia,Kakinada,Coal,Handysize,34397,71.71,785.06,110.69,50.36,62.11,73.49
2023-01-09,Brazil,Visakhapatnam,Bauxite,Handysize,55735,74.69,785.06,110.69,50.36,62.11,73.49
2023-01-09,Brazil,Paradip,Bauxite,Capesize,112920,92.59,785.06,110.69,50.36,62.11,73.49
2023-01-10,South Africa,Visakhapatnam,Fertilizer,Handysize,43625,83.38,825.83,179.92,48.74,77.37,85.13
2023-01-10,Russia,Visakhapatnam,Coal,Handymax,108858,88.32,825.83,179.92,48.74,77.37,85.13
2023-01-10,Indonesia,Visakhapatnam,Bauxite,Capesize,74693,100.44,825.83,179.92,48.74,77.37,85.13
